STATIONS_ID;MESS_DATUM;QN_6;RS;RSF;SH_TAG;NSH_TAG;eor
          6;20240609;    3;   0.1;   6;   0;   0;eor
          6;20240610;    3;   0.3;   6;   0;   0;eor
          6;20240611;    3;   0.0;   0;   0;   0;eor
          6;20240612;    3;   1.5;   6;   0;   0;eor
          6;20240613;    3;   0.0;   0;   0;   0;eor
          6;20240614;    3;   6.3;   6;   0;   0;eor
          6;20240615;    3;   0.2;   6;   0;   0;eor
          6;20240616;    3;   0.2;   6;   0;   0;eor
          6;20240617;    3;   0.0;   6;   0;   0;eor
          6;20240618;    3;   2.7;   6;   0;   0;eor
          6;20240619;    3;   0.8;   6;   0;   0;eor
          6;20240620;    3;   0.0;   0;   0;   0;eor
          6;20240621;    3;  14.4;   6;   0;   0;eor
          6;20240622;    3;  25.4;   6;   0;   0;eor
          6;20240623;    3;   0.0;   0;   0;   0;eor
          6;20240624;    3;   0.0;   0;   0;   0;eor
          6;20240625;    3;   0.0;   0;   0;   0;eor
          6;20240626;    3;   2.7;   6;   0;   0;eor
          6;20240627;    3;   4.0;   6;   0;   0;eor
          6;20240628;    3;   0.0;   0;   0;   0;eor
          6;20240629;    3;   0.3;   6;   0;   0;eor
          6;20240630;    3;   1.7;   6;   0;   0;eor
          6;20240701;    3;   0.5;   6;   0;   0;eor
          6;20240702;    3;   4.7;   6;   0;   0;eor
          6;20240703;    3;   7.4;   6;   0;   0;eor
          6;20240704;    3;   1.4;   6;   0;   0;eor
          6;20240705;    3;   0.0;   0;   0;   0;eor
          6;20240706;    3;   6.6;   6;   0;   0;eor
          6;20240707;    3;   0.2;   6;   0;   0;eor
          6;20240708;    3;   0.0;   0;   0;   0;eor
          6;20240709;    3;   1.0;   6;   0;   0;eor
          6;20240710;    3;   8.5;   6;   0;   0;eor
          6;20240711;    3;   2.0;   6;   0;   0;eor
          6;20240712;    3;  19.6;   8;   0;   0;eor
          6;20240713;    3;   0.0;   6;   0;   0;eor
          6;20240714;    3;   0.0;   0;   0;   0;eor
          6;20240715;    3;   7.5;   6;   0;   0;eor
          6;20240716;    3;   0.3;   6;   0;   0;eor
          6;20240717;    3;   0.0;   0;   0;   0;eor
          6;20240718;    3;   0.0;   0;   0;   0;eor
          6;20240719;    3;   0.0;   0;   0;   0;eor
          6;20240720;    3;   0.0;   0;   0;   0;eor
          6;20240721;    3;   0.0;   6;   0;   0;eor
          6;20240722;    3;   0.0;   0;   0;   0;eor
          6;20240723;    3;   3.5;   6;   0;   0;eor
          6;20240724;    3;   0.0;   0;   0;   0;eor
          6;20240725;    3;   0.0;   0;   0;   0;eor
          6;20240726;    3;   0.0;   6;   0;   0;eor
          6;20240727;    3;   7.6;   6;   0;   0;eor
          6;20240728;    3;   0.0;   6;   0;   0;eor
          6;20240729;    3;   0.0;   0;   0;   0;eor
          6;20240730;    3;   0.0;   0;   0;   0;eor
          6;20240731;    3;   0.2;   6;   0;   0;eor
          6;20240801;    3;  12.8;   6;   0;   0;eor
          6;20240802;    3;   0.5;   6;   0;   0;eor
          6;20240803;    3;   0.0;   6;   0;   0;eor
          6;20240804;    3;   3.2;   6;   0;   0;eor
          6;20240805;    3;   0.0;   0;   0;   0;eor
          6;20240806;    3;   0.0;   0;   0;   0;eor
          6;20240807;    3;   0.4;   6;   0;   0;eor
          6;20240808;    3;   0.0;   0;   0;   0;eor
          6;20240809;    3;   0.0;   0;   0;   0;eor
          6;20240810;    3;   0.0;   0;   0;   0;eor
          6;20240811;    3;   0.0;   0;   0;   0;eor
          6;20240812;    3;   0.0;   0;   0;   0;eor
          6;20240813;    3;   0.0;   0;   0;   0;eor
          6;20240814;    3;   1.0;   6;   0;   0;eor
          6;20240815;    3;   0.0;   0;   0;   0;eor
          6;20240816;    3;   0.4;   6;   0;   0;eor
